fingerprint,proton_affinity,yield
4P///wAIAAAKAAAAPmBVATSVBZJk0iSiMQw=,-226.650012105508,0.85
4P///wAIAAAkAAAAHKISoG0AEDIoUMrKZDpgQBAwUlYgTlIAHho83PJ0qnIWVQHgEkA1AA==,-211.411714698843,0.11
4P///wAIAAANAAAAeQEoMQAIEQJxAmEAGDYlART9BSS5AA==,-225.302969910666,0.99
4P///wAIAAAcAAAAVAQuMiUCaQIKUskBEAw80AAYcDIQCqq8mgECRM4AIkohAA==,-228.460203633071,0.86
4P///wAIAAATAAAAZlkC3uqyzQE+EDK+BCx+HN5lAM0A1QEkuQA=,-230.147712130998,0.66
4P///wAIAAASAAAA6QM9AnkAoEYQliA4BCyccGwO7QY6PQAm,-218.133709706081,0.5
4P///wAIAAApAAAA1AKdARYyKFAMEQFiAN5CSAhWIE4gHBI8ADo+PlxcBGIqdHJmWpLqKuASWgEA,-199.394264739556,0.84
4P///wAIAAAGAAAAnQpiKMkAvFUCpQc=,-210.379674491945,0.03
4P///wAIAAAJAAAAHMZVAkkBKtUAjMkAvP0L,-219.924818057439,0.27
4P///wAIAAARAAAAmOSwWH49AKUAzoxFAX5cUC0AxQP0ksg=,-211.720054423759,0.13
4P///wAIAAAQAAAABFEDNnBRA0qMFhA0uBD2cQAe0QJ1BA==,-220.479547308579,0.25
4P///wAIAAAfAAAAQF6EFDYpAU5xAVhieiRm7QAqflxaIEigTQDM7AYG5FAEOrwK,-194.188140086123,0.23
4P///wAIAAAXAAAAEu0DwI0AcQCMRQF+XIBQlAjdAHpCWE70VggwSnw=,-201.180935347219,0.12
4P///wAIAAARAAAA1IxNAYQFAXEAYQJieNEACBEDTvRWOkp8,-201.642888647774,0.00
4P///wAIAAATAAAAEr4pAiDqOQBxAMrJANzRAAgRA04wwlY6Snw=,-214.247265972566,0.02
4P///wAIAAAGAAAAKQhxAEUBTq0DvQUJAA==,-200.106918553231,1.00
4P///wAIAAAbAAAAHILkxKECWBoiNIAuEhhCXAaRAKoQ5OwYWO5MzQIKCQA=,-213.704836525312,0.00
4P///wAIAAALAAAAoFUBoQIpAekAluJlAwkDjLZY,-226.568526924323,0.02
4P///wAIAAANAAAAFQQEzh0EHQGkNtEAmJECaoiSyA==,-216.629797791379,0
4P///wAIAAALAAAAoDUAjskA6ikBGOUBMF4xCiEA,-193.736028636728,0
4P///wAIAAANAAAAgg0DJQBlAXphAtzRAHUBTQA2vJLI,-186.508262003056,0.02
4P///wAIAAALAAAA5QcQDhEBihBmYs0CNQYcqQA=,-223.780270376475,0.37
4P///wAIAAALAAAAPQEVAr0ACE0CyjUDTQIFAC0ACQAQ,-203.958689277018,0.00
4P///wAIAAAXAAAAqvLMFjoA5tEAXHkCJqZWhPJ0Xq0CKnB8BJTG,-209.729019822450,0.00
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,-199.731461093188,0.00
4P///wAIAAA7AAAAMjI4JL6qSgowAkiOIK0AOhYCCAActjhMTJaERjSEACgKFAA8IgoqEoI6cBAUtiiEBGYWBBgqAMZWFHBeHA==,-205.275613549802,0.15
4P///wAIAAATAAAACQJ4PEzlAJRSsQM8xhSYMJy++QCk9JLI,-206.650907454838,0.01
4P///wAIAAAKAAAAeQNNAigEVpUC5QPaoQC9A0Q=,-201.354461038568,0.01
4P///wAIAAAYAAAA/QI8TKo0kJSqjBZ0CDEBflwcIIoocr5FAvSSyA==,-199.590053822656,0.02
4P///wAIAAARAAAAIH5VAW4JANp0PQDgAFEAIE0A9QFWhQGRACEA,-204.975509253121,0.01
4P///wAIAAARAAAAoP5oQBEAPJRydD0AGQLFACoOwQNRAirk,-228.205950791473,0.99
4P///wAIAAATAAAApQK2SuLYgOANAlIKfILk1QJ2PLaSijw=,-228.296019040787,0.99
4P///wAIAAATAAAAFQRKhQB4WQQ8Qg4KfILk8ukAAHaKaJLI,-226.254061456644,0.54
4P///wAIAAAYAAAAFQRKyPJWfQAGlQFSCnQGTDTIGiECCE4qSizGksg=,-228.150222344707,0.5
4P///wAIAAA6AAAAMmwk1QBWNEhKQiDceAouGggA1DhMTASQhEY0AoAqChQAPAwgKhKCOpgcmCiKJAA+EgIEGCoAxlYUcF4c,-227.054819416475,0.97
4P///wAIAAAXAAAAoFUBVrA84iACWBoVABJNAORWUsIuyQB5ADEAmQAFAAw=,-227.985633009082,0.98
