c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,self_score,kappa,cutoff
0.5023,0.573,0.6692,1.0,0.0,1.0,0.5008,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.6086956521739131,0.1
0.4923,0.4952,0.0,1.0,0.0,0.664,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.7222222222222223,0.2
0.4904,1.0,0.2772333333333365,1.0,0.0,0.4904,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.7534246575342465,0.3
0.4998,0.4969,0.47531666666666805,1.0,0.0,0.4998,0.946433333333337,1.0,0.946433333333337,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.8098591549295774,0.4
1.0,0.42145,0.6731,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.1724137931034482,0.5
1.0,0.39336666666667613,0.6817,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.08695652173913056,0.6
1.0,0.3824666666666752,0.3333333333333731,1.0,0.0,0.0,0.6666666666667462,1.0,0.6666666666667462,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.13043478260869554,0.7
1.0,0.37983333333334224,0.3333333333333731,1.0,0.0,0.0,0.6666666666667462,1.0,0.6666666666667462,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.19999999999999993,0.8
0.24945,0.39766666666667666,0.12545,1.0,0.0,0.12655,0.0,0.24945,0.0,0.24945,1.0,0.24945,0.24945,1.0,0.9166666666666666,0.3076923076923077,0.9
