fingerprint,proton_affinity,yield
4P///wAIAAAIAAAAoFUBAQaSZNIkojEM,-226.650012105508,0.85
4P///wAIAAASAAAA1LEBEDJ6ymEAOqJCqsY6PI0CbQBVAfS5AA==,-211.411714698843,0.11
4P///wAIAAAHAAAAKQhxAmEAGJUBKQYkuQA=,-225.302969910666,0.99
4P///wAIAAALAAAAWu0CgQJxAmEAGFkCxQPOACK5AA==,-228.460203633071,0.86
4P///wAIAAANAAAA6QQ9AU0CEPIELH4c3mUApQQkuQA=,-230.147712130998,0.66
4P///wAIAAALAAAA6QM9Ak0CELg4BCyc3g0HBQE=,-218.133709706081,0.5
4P///wAIAAAUAAAA1NUBMnr1AQDeQkhgBQA8Pj66FQDaWlUB9LkA,-199.394264739556,0.84
4P///wAIAAAGAAAAnQpiKMkAvFUCpQc=,-210.379674491945,0.03
4P///wAIAAAIAAAAHMZVAkkBLQGMyQC8/Qs=,-219.924818057439,0.27
4P///wAIAAAJAAAA/QCwOQaMRQF+jQHFA/S5AA==,-211.720054423759,0.13
4P///wAIAAAJAAAAnQqMKDS4EPaxANECdQQ=,-220.479547308579,0.25
4P///wAIAAAQAAAAoITZBVhieoxFAX6NAekB7AYG5FYJAA==,-194.188140086123,0.23
4P///wAIAAAMAAAAmQWNAHEAjEUBfo0BCNUB7PRWCQA=,-201.180935347219,0.12
4P///wAIAAAKAAAAFQSEBQFxAGECjQIIsQP0VgkA,-201.642888647774,0
4P///wAIAAAJAAAAEgEIcQBhAo0CCLED9FYJAA==,-214.247265972566,0.02
4P///wAIAAAGAAAAKQhxAEUBTq0DvQUJAA==,-200.106918553231,0
4P///wAIAAANAAAAoFUBjQNYxBhCXQG8pQHFAGkDCgkA,-213.704836525312,0
4P///wAIAAAIAAAAoFUBzQXpAJbicQiMIQA=,-226.568526924323,0.02
4P///wAIAAAHAAAA4QsdAaRBAZiRAvS5AA==,-216.629797791379,0
4P///wAIAAAIAAAAoDUAjskAAQMY5QFVCyEA,-193.736028636728,0
4P///wAIAAAHAAAApQl6YQKNAnUBTQD0uQA=,-186.508262003056,0.02
4P///wAIAAAHAAAAKQgRAZxmYgULHKkA,-223.780270376475,0.37
4P///wAIAAAHAAAAPQEVAtEATQLKNQNNAmUE,-203.958689277018,0
4P///wAIAAAKAAAAPQFBAOjRANUEVt0BxQP0lMY=,-209.729019822450,0
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,-199.731461093188,0
4P///wAIAAAcAAAAoCEBSgowAkgRAlICCNaG1QBGNG0Azr4FAWYWBBj0VhTQHA==,-205.275613549802,0.15
4P///wAIAAALAAAA/QI8rQJSsQM87QDOvkUC9LkA,-206.650907454838,0.01
4P///wAIAAAIAAAAeQNNAi5WlQLlA9qhAEkE,-201.354461038568,0.01
4P///wAIAAANAAAA/QI8XQBNAHEAjEUBfqUAcr5FAvS5AA==,-199.590053822656,0.02
4P///wAIAAAKAAAAoFUBbgkAoQA9AOJRAIkEyQQhAA==,-204.975509253121,0.01
4P///wAIAAAKAAAAoFUBEQA8/QA9ABkCHQEOFQghAA==,-228.205950791473,0.99
4P///wAIAAAJAAAArQR5AcUADQLBAOTVAnb0uQA=,-228.296019040787,0.99
4P///wAIAAALAAAArQSFAHhZBDzBAOTRAgB29LkA,-226.254061456644,0.54
4P///wAIAAANAAAArQTI8lYlBMEAyBohAghOdvS5AA==,-228.150222344707,0.5
4P///wAIAAAcAAAAoCEBVjRISoUAeFYI1obVAEY0QQDkhQIkAD4WBBj0VhTQHA==,-227.054819416475,0.97
4P///wAIAAALAAAAoFUBEQA8CQB4PQAZAt0ALhUIIQA=,-227.985633009082,0.98
