c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,self_score,kappa,cutoff
0.4951,0.0,0.10913333333333644,1.0,0.0,0.5224666666666651,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8611111111111112,0.55,0.1
0.5067,0.0,0.0,1.0,0.0,0.5884,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.5987261146496816,0.2
0.53505,0.08015,0.08345,1.0,0.0,0.5849,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.8098591549295774,0.3
0.5017,0.0,0.0,1.0,0.0,0.5017,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.8695652173913043,0.4
0.47435,0.0,0.0,1.0,0.0,0.44085,0.0,0.93735,0.0,1.0,1.0,0.9379,0.87525,1.0,0.8888888888888888,0.4661016949152542,0.5
1.0,0.0,0.33443333333332775,1.0,0.0,0.04165,0.3337333333333133,1.0,0.3337333333333133,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.4166666666666668,0.6
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.4705882352941177,0.7
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.4705882352941177,0.8
0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.9444444444444444,0.4418604651162788,0.9
