c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,self_score,kappa,cutoff
0.4952,0.0,0.1116666666666692,0.0,0.5233666666666655,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8611111111111112,0.55,0.1
0.508,0.0,0.0,0.0,0.5891,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.6037735849056604,0.2
0.5049,0.6666666666667462,0.0,0.0,0.5049,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.8098591549295774,0.3
0.5038,0.0,0.0,0.0,0.5038,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.8695652173913043,0.4
0.4677,0.0,0.0,0.0,0.4361,0.0,0.9375,0.0,1.0,1.0,0.9375,0.875,1.0,0.8888888888888888,0.4661016949152542,0.5
1.0,0.0,0.3477999999999933,0.0,0.0358,0.3271333333333148,1.0,0.3271333333333148,1.0,0.6037999999999804,1.0,1.0,1.0,0.9166666666666666,0.4166666666666668,0.6
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.35051546391752586,0.7
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.35051546391752586,0.8
0.2454,0.0,0.0,0.0,0.0,0.0,0.2454,0.0,0.2454,1.0,0.2454,0.2454,1.0,0.9444444444444444,0.4418604651162788,0.9
