fingerprint,proton_affinity,yield
4P///wAIAAAEAAAAoFkJkr0AeQ0=,-226.650012105508,0.85
4P///wAIAAAHAAAA6QPxAjqi5QEJA7EFuQA=,-211.411714698843,0.11
4P///wAIAAADAAAAKQhxAqUMuQA=,-225.302969910666,0.99
4P///wAIAAAEAAAAKQhxAvEEsQW5AA==,-228.460203633071,0.86
4P///wAIAAAGAAAAKQhNAhDyBLEKuQA=,-230.147712130998,0.66
4P///wAIAAAFAAAAKQhNAhDyBG0N,-218.133709706081,0.5
4P///wAIAAAIAAAA6QPtAgDe5QG8jQGxBbkA,-199.394264739556,0.84
4P///wAIAAADAAAAnQrlAbz9Cw==,-210.379674491945,0.03
4P///wAIAAAEAAAA5NEI5QG8/Qs=,-219.924818057439,0.27
4P///wAIAAAEAAAAnQphA40BsQW5AA==,-211.720054423759,0.13
4P///wAIAAAEAAAAnQrsuBEA/Qs=,-220.479547308579,0.25
4P///wAIAAAHAAAAoOUGWN5hA40BsQW5AA==,-194.188140086123,0.23
4P///wAIAAAFAAAAKQhxAGEDjQGxBbkA,-201.180935347219,0.12
4P///wAIAAAEAAAAKQhxAPEGsQW5AA==,-201.642888647774,0.00
4P///wAIAAAEAAAAKQhxAPEGsQW5AA==,-214.247265972566,0.02
4P///wAIAAADAAAAKQhxAOUBeQ0=,-200.106918553231,0.00
4P///wAIAAAFAAAAoOUGWN7lAXkN,-213.704836525312,0.00
4P///wAIAAADAAAAoEEN4rEL,-226.568526924323,0.02
4P///wAIAAADAAAATRBBAbEFuQA=,-216.629797791379,0
4P///wAIAAADAAAAoFkJ5QF5DQ==,-193.736028636728,0
4P///wAIAAADAAAAnQrxBrEFuQA=,-186.508262003056,0.02
4P///wAIAAADAAAAKQgRAZyFDw==,-223.780270376475,0.37
4P///wAIAAADAAAAPQHpBE0ChQ8=,-203.958689277018,0.00
4P///wAIAAAEAAAAPQHpBGUJsQW5AA==,-209.729019822450,0.00
4P///wAIAAADAAAAeQOtAlkEeQ0=,-199.731461093188,0.00
4P///wAIAAAJAAAAoDUCrQJW4OUBCQOxBWzu,-205.275613549802,0.15
4P///wAIAAAFAAAAeQOtAlkECQOxBbkA,-206.650907454838,0.01
4P///wAIAAAEAAAAeQOtAlZ9CKUI,-201.354461038568,0.01
4P///wAIAAAGAAAAeQOtAnEAYQONAbEFuQA=,-199.590053822656,0.02
4P///wAIAAAEAAAAoDUCrQJZBHkN,-204.975509253121,0.01
4P///wAIAAAEAAAAoGkDeQFZBHkN,-228.205950791473,0.99
4P///wAIAAAEAAAArQR5AWUJsQW5AA==,-228.296019040787,0.99
4P///wAIAAAFAAAArQR5AVkECQOxBbkA,-226.254061456644,0.54
4P///wAIAAAGAAAArQR5AVZ9CBqxBbkA,-228.150222344707,0.5
4P///wAIAAAJAAAAoGkDeQFW4OUBCQOxBWzu,-227.054819416475,0.97
4P///wAIAAAEAAAAoGkDeQFZBHkN,-227.985633009082,0.98
