c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,self_score,kappa,cutoff
0.5036,0.493,0.513925,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.3142857142857143,0.1
0.494,0.4953,0.0,0.0,0.6662,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.7222222222222223,0.2
0.4919,1.0,0.2762000000000029,0.0,0.4919,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.7534246575342465,0.3
0.4966,0.4975,0.4755666666666688,0.0,0.4966,0.9464333333333383,1.0,0.9464333333333383,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.8098591549295774,0.4
1.0,0.42135,0.6735,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.1724137931034482,0.5
1.0,0.3939666666666759,0.6798,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.12686567164179083,0.6
1.0,0.3815333333333419,0.3333333333333731,0.0,0.0,0.6666666666667462,1.0,0.6666666666667462,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.13043478260869554,0.7
1.0,0.38010000000000843,0.3333333333333731,0.0,0.0,0.6666666666667462,1.0,0.6666666666667462,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.25000000000000006,0.8
0.2492,0.39630000000000987,0.1254,0.0,0.12625,0.0,0.2492,0.0,0.2492,1.0,0.2492,0.2492,1.0,0.9166666666666666,0.3076923076923077,0.9
