fingerprint,proton_affinity,yield
4P///wAIAAAKAAAAPmBVATSVBZJk0iSiMQw=,-226.650012105508,0.85
4P///wAIAAAcAAAAwBKgbQAQMihQymEAOmBAQlJWIE5UOjzc0QBtAFUB4BJANQA=,-211.411714698843,0.11
4P///wAIAAALAAAAeQEoMQAIEQJxAmEAGJUBKQYkuQA=,-225.302969910666,0.99
4P///wAIAAATAAAAWmIlAoECcQIQOQAAGKQcqryajQLOACJKIQA=,-228.460203633071,0.86
4P///wAIAAASAAAAZhkE6rLNAT4QMr4ELH4c3mUAzQDVASS5AA==,-230.147712130998,0.66
4P///wAIAAAPAAAA6QM9Ak0CELg4BCyccGwO7QY6PQAm,-218.133709706081,0.5
4P///wAIAAAfAAAA1ALNATIoUPUBAN5CSAhWIE4gHFAAOj4+XFwVANpaki0A4BK5AA==,-199.394264739556,0.84
4P///wAIAAAGAAAAnQpiKMkAvFUCpQc=,-210.379674491945,0.03
4P///wAIAAAJAAAAHMZVAkkBKtUAjMkAvP0L,-219.924818057439,0.27
4P///wAIAAAOAAAA/QCw2D0ApQDOjEUBflxQLQDFA/S5AA==,-211.720054423759,0.13
4P///wAIAAAOAAAABFEDNnDpA4wWEDS4EPaxANECdQQ=,-220.479547308579,0.25
4P///wAIAAAYAAAAoIRMKQERAlhieoztACp+XFog6ukB7AYG5FAE+Ao=,-194.188140086123,0.23
4P///wAIAAASAAAAFQTAjQBxAIxFAX5cgOYI1QFCqPRWCHx8,-201.180935347219,0.12
4P///wAIAAAOAAAA1GkChAUBcQBhAmJ40QAIsQP0VoZ8,-201.642888647774,0.00
4P///wAIAAAOAAAAEr5tAhECcQBhAtzRAAixAzDCVoZ8,-214.247265972566,0.02
4P///wAIAAAGAAAAKQhxAEUBTq0DvQUJAA==,-200.106918553231,0.00
4P///wAIAAAUAAAAHILkxKECdFjEGEJdAaoQ5OwYWO5pAwoJAA==,-213.704836525312,0.00
4P///wAIAAALAAAAoFUBoQIpAekAluJlAwkDjLZY,-226.568526924323,0.02
4P///wAIAAALAAAAFQTUHQQdAaQ20QCYkQJqiLkA,-216.629797791379,0
4P///wAIAAALAAAAoDUAjskA6ikBGOUBMF4xCiEA,-193.736028636728,0
4P///wAIAAALAAAAgg0DjQN6YQLc0QB1AU0ANry5AA==,-186.508262003056,0.02
4P///wAIAAAKAAAACQgOEQGKEGZizQI1BhypAA==,-223.780270376475,0.37
4P///wAIAAAKAAAAPQEVAtEATQLKNQNNAgUALQAJABA=,-203.958689277018,0.00
4P///wAIAAAQAAAAPQHMUujRAFx5As5WhNEAXgUDcIKUxg==,-209.729019822450,0.00
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,-199.731461093188,0.00
4P///wAIAAAsAAAAMmwhAUoKMAJIEQI6FgIIHrY4TEyWhEY0hkoAPCJKgjqCFLauBGYWBBgsxlYU0Bw=,-205.275613549802,0.15
4P///wAIAAAQAAAA/QI8TOUAlFKxAzzGFJjOvvkApPS5AA==,-206.650907454838,0.01
4P///wAIAAAKAAAAeQNNAigEVpUC5QPaoQC9A0Q=,-201.354461038568,0.01
4P///wAIAAATAAAA/QI8TOCQlKqMFnQIMQF+XPRyvkUC9LkA,-199.590053822656,0.02
4P///wAIAAAOAAAAIH5VAW4JANp0PQDiUQAgTQD1AckEIQA=,-204.975509253121,0.01
4P///wAIAAAOAAAAoP6qEQA8lHJ0PQAZAh0BDhUIKuQ=,-228.205950791473,0.99
4P///wAIAAAOAAAAFQRK4tjFAA0CUoiC5NUCdjy2uQA=,-228.296019040787,0.99
4P///wAIAAAQAAAAFQRKhQB4WQQ8Qg6IguTy6QAAdvS5AA==,-226.254061456644,0.54
4P///wAIAAATAAAAFQRKyPJWjQCVAVKABoLIGiECCE52LMa5AA==,-228.150222344707,0.5
4P///wAIAAAsAAAAMmwhAVY0SEqFAHg6GgjWOExMBJCERjQCzgA8DGCCOpgcmLQkAD4WBBgsxlYU0Bw=,-227.054819416475,0.97
4P///wAIAAARAAAAoFUBEQA8CQACdD0ATQDkqsIuyQCtApkABQAM,-227.985633009082,0.98
